codigo_ibge,nome,latitude,longitude
3500105,Adamantina,-21.682,-51.0737
3500204,Adolfo,-21.2325,-49.6451
3500303,Aguaí,-22.0572,-46.9735
3500709,Agudos,-22.4694,-48.9863
3500758,Alambari,-23.5503,-47.898
3500808,Alfredo Marcondes,-21.9527,-51.414
3500907,Altair,-20.5242,-49.0571
3501004,Altinópolis,-21.0214,-47.3712
3501103,Alto Alegre,-21.5811,-50.168
3501152,Alumínio,-23.5306,-47.2546
3501509,Alvinlândia,-22.4435,-49.7623
3501608,Americana,-22.7374,-47.3331
3501905,Amparo,-22.7088,-46.772
3501707,Américo Brasiliense,-21.7288,-48.1147
3501806,Américo de Campos,-20.2985,-49.7359
3502002,Analândia,-22.1289,-47.6619
3502101,Andradina,-20.8948,-51.3786
3502200,Angatuba,-23.4917,-48.4139
3502309,Anhembi,-22.793,-48.1336
3502408,Anhumas,-22.2934,-51.3895
3502507,Aparecida,-22.8495,-45.2325
3502606,Aparecida d'Oeste,-20.4487,-50.8835
3502705,Apiaí,-24.5108,-48.8443
3503000,Aramina,-20.0882,-47.7873
3503109,Arandu,-23.1386,-49.0487
3503158,Arapeí,-22.6717,-44.4441
3503208,Araraquara,-21.7845,-48.178
3503307,Araras,-22.3572,-47.3842
3502754,Araçariguama,-23.4366,-47.0608
3502804,Araçatuba,-21.2076,-50.4401
3502903,Araçoiaba da Serra,-23.5029,-47.6166
3503356,Arco-Íris,-21.7728,-50.466
3503406,Arealva,-22.031,-48.9135
3503505,Areias,-22.5786,-44.6992
3503604,Areiópolis,-22.6672,-48.6681
3503703,Ariranha,-21.1872,-48.7904
3503802,Artur Nogueira,-22.5727,-47.1727
3503901,Arujá,-23.3965,-46.32
3503950,Aspásia,-20.16,-50.728
3504008,Assis,-22.66,-50.4183
3504107,Atibaia,-23.1171,-46.5563
3504206,Auriflama,-20.6836,-50.5572
3504404,Avanhandava,-21.4584,-49.9509
3504503,Avaré,-23.1067,-48.9251
3504305,Avaí,-22.1514,-49.3356
3504602,Bady Bassitt,-20.9197,-49.4385
3504701,Balbinos,-21.8963,-49.3619
3504909,Bananal,-22.6819,-44.3281
3505104,Barbosa,-21.2657,-49.9518
3505203,Bariri,-22.073,-48.7438
3505302,Barra Bonita,-22.4909,-48.5583
3505351,Barra do Chapéu,-24.4722,-49.0238
3505401,Barra do Turvo,-24.759,-48.5013
3505500,Barretos,-20.5531,-48.5698
3505609,Barrinha,-21.1864,-48.1636
3505708,Barueri,-23.5057,-46.879
3505005,Barão de Antonina,-23.6284,-49.5634
3505807,Bastos,-21.921,-50.7357
3505906,Batatais,-20.8929,-47.5921
3506003,Bauru,-22.3246,-49.0871
3506102,Bebedouro,-20.9491,-48.4791
3506201,Bento de Abreu,-21.2686,-50.814
3506300,Bernardino de Campos,-23.0164,-49.4679
3506359,Bertioga,-23.8486,-46.1396
3506409,Bilac,-21.404,-50.4746
3506508,Birigui,-21.291,-50.3432
3506607,Biritiba-Mirim,-23.5698,-46.0407
3506706,Boa Esperança do Sul,-21.9918,-48.3906
3506805,Bocaina,-22.1365,-48.523
3506904,Bofete,-23.1055,-48.2582
3507001,Boituva,-23.2855,-47.6786
3507100,Bom Jesus dos Perdões,-23.1356,-46.4675
3507159,Bom Sucesso de Itararé,-24.3155,-49.1451
3507308,Boracéia,-22.1926,-48.7808
3507407,Borborema,-21.6214,-49.0741
3507456,Borebi,-22.5728,-48.9707
3507209,Borá,-22.2696,-50.5409
3507506,Botucatu,-22.8837,-48.4437
3507605,Bragança Paulista,-22.9527,-46.5419
3507704,Braúna,-21.499,-50.3175
3507753,Brejo Alegre,-21.1651,-50.1861
3507803,Brodowski,-20.9845,-47.6572
3507902,Brotas,-22.2795,-48.1251
3508009,Buri,-23.7977,-48.5958
3508108,Buritama,-21.0661,-50.1475
3508207,Buritizal,-20.1911,-47.7096
3504800,Bálsamo,-20.7348,-49.5865
3508405,Cabreúva,-23.3053,-47.1362
3508306,Cabrália Paulista,-22.4576,-49.3393
3508603,Cachoeira Paulista,-22.6665,-45.0154
3508702,Caconde,-21.528,-46.6437
3508801,Cafelândia,-21.8031,-49.6092
3508900,Caiabu,-22.0127,-51.2394
3509007,Caieiras,-23.3607,-46.7397
3509106,Caiuá,-21.8322,-51.9969
3509205,Cajamar,-23.355,-46.8781
3509254,Cajati,-24.7324,-48.1223
3509304,Cajobi,-20.8773,-48.8063
3509403,Cajuru,-21.2749,-47.303
3509452,Campina do Monte Alegre,-23.5895,-48.4758
3509502,Campinas,-22.9053,-47.0659
3509601,Campo Limpo Paulista,-23.2078,-46.7889
3509809,Campos Novos Paulista,-22.602,-49.9987
3509700,Campos do Jordão,-22.7296,-45.5833
3509908,Cananéia,-25.0144,-47.9341
3509957,Canas,-22.7003,-45.0521
3510153,Canitar,-23.004,-49.7839
3510302,Capela do Alto,-23.4685,-47.7388
3510401,Capivari,-22.9951,-47.5071
3510203,Capão Bonito,-24.0113,-48.3482
3510500,Caraguatatuba,-23.6125,-45.4125
3510609,Carapicuíba,-23.5235,-46.8407
3510708,Cardoso,-20.08,-49.9183
3510807,Casa Branca,-21.7708,-47.0852
3511003,Castilho,-20.8689,-51.4884
3511102,Catanduva,-21.1314,-48.977
3511201,Catiguá,-21.0519,-49.0616
3508504,Caçapava,-23.0992,-45.7076
3511300,Cedral,-20.9009,-49.2664
3511409,Cerqueira César,-23.038,-49.1655
3511508,Cerquilho,-23.1665,-47.7459
3511607,Cesário Lange,-23.226,-47.9545
3511706,Charqueada,-22.5096,-47.7755
3557204,Chavantes,-23.0366,-49.7096
3511904,Clementina,-21.5604,-50.4525
3512001,Colina,-20.7114,-48.5387
3512100,Colômbia,-20.1768,-48.6865
3512209,Conchal,-22.3375,-47.1729
3512308,Conchas,-23.0154,-48.0134
3512407,Cordeirópolis,-22.4778,-47.4519
3512506,Coroados,-21.3521,-50.2859
3512605,Coronel Macedo,-23.6261,-49.31
3512704,Corumbataí,-22.2213,-47.6215
3512902,Cosmorama,-20.4755,-49.7827
3512803,Cosmópolis,-22.6419,-47.1926
3513009,Cotia,-23.6022,-46.919
3513108,Cravinhos,-21.338,-47.7324
3513207,Cristais Paulista,-20.4036,-47.4209
3513405,Cruzeiro,-22.5728,-44.969
3513306,Cruzália,-22.7373,-50.7909
3513504,Cubatão,-23.8911,-46.424
3513603,Cunha,-23.0731,-44.9576
3510906,Cássia dos Coqueiros,-21.2801,-47.1643
3510005,Cândido Mota,-22.7471,-50.3873
3510104,Cândido Rodrigues,-21.3275,-48.6327
3513702,Descalvado,-21.9002,-47.6181
3513801,Diadema,-23.6813,-46.6205
3513850,Dirce Reis,-20.4642,-50.6073
3513900,Divinolândia,-21.6637,-46.7361
3514007,Dobrada,-21.5155,-48.3935
3514106,Dois Córregos,-22.3673,-48.3819
3514205,Dolcinópolis,-20.124,-50.5149
3514304,Dourado,-22.1044,-48.3178
3514403,Dracena,-21.4843,-51.535
3514502,Duartina,-22.4146,-49.4084
3514601,Dumont,-21.2324,-47.9756
3514700,Echaporã,-22.4326,-50.2038
3514809,Eldorado,-24.5281,-48.1141
3514908,Elias Fausto,-23.0428,-47.3682
3514924,Elisiário,-21.1678,-49.1146
3514957,Embaúba,-20.9796,-48.8325
3515004,Embu das Artes,-23.6437,-46.8579
3515103,Embu-Guaçu,-23.8297,-46.8136
3515129,Emilianópolis,-21.8314,-51.4832
3515152,Engenheiro Coelho,-22.4836,-47.211
3515186,Espírito Santo do Pinhal,-22.1909,-46.7477
3515194,Espírito Santo do Turvo,-22.6925,-49.4341
3557303,Estiva Gerbi,-22.2713,-46.9481
3515202,Estrela d'Oeste,-20.2875,-50.4049
3515301,Estrela do Norte,-22.4859,-51.6632
3515350,Euclides da Cunha Paulista,-22.5545,-52.5928
3515400,Fartura,-23.3916,-49.5124
3515608,Fernando Prestes,-21.2661,-48.6874
3515509,Fernandópolis,-20.2806,-50.2471
3515657,Fernão,-22.3607,-49.5187
3515707,Ferraz de Vasconcelos,-23.5411,-46.371
3515806,Flora Rica,-21.6727,-51.3821
3515905,Floreal,-20.6752,-50.1513
3516101,Florínia,-22.868,-50.6814
3516002,Flórida Paulista,-21.6127,-51.1724
3516200,Franca,-20.5352,-47.4039
3516309,Francisco Morato,-23.2792,-46.7448
3516408,Franco da Rocha,-23.3229,-46.729
3516507,Gabriel Monteiro,-21.5294,-50.5573
3516705,Garça,-22.2125,-49.6546
